0,NXB Hồng Đức
1,NXB Dân Trí
2,NXB Đại Học Quốc Gia Hà Nội
3,NXB Hải Phòng
4,NXB Đồng Nai
5,NXB Đại Học Sư Phạm
6,NXB Đại Học Quốc Gia TP.HCM
7,NXB Giáo Dục Việt Nam
8,NXB Đại Học Quốc Gia HN
9,NXB Mỹ Thuật
10,NXB Đà Nẵng
11,NXB Phụ Nữ Việt Nam
12,NXB Phụ Nữ
13,NXB Đại Học Sư Phạm Tp.HCM
14,NXB Tổng Hợp TPHCM
15,NXB đại học sư phạm
16,NXB Đại học Kinh Tế Quốc Dân
17,NXB Giáo Dục
18,NXB Thanh Niên
19,NXB Đại học Quốc gia Hà Nội
20,NXB Hà Nội
21,NXB Thanh Hóa
22,NXB Văn Học
23,NXB Kim Đồng
24,NXB Thế Giới
25,NXB Đại học quốc  gia Hà Nội
26,NXB Đại Học Quốc Gia TPHCM
27,NXB ĐHQGHN
28,NXB Tổng hợp TP.HCM
29,Đại Học Quốc Gia Hà Nội
30,Nhà xuất bản Giáo Dục
31,NXB Đại Học Sư Phạm TPHCM
32,NXB Mĩ thuật
33,NXB Trẻ
34,NXB Lao Động
35,NXB Đại Học Kinh Tế Quốc Dân
36,NXB Lao động
37,NXB Văn Hóa - Văn Nghệ
38,NXB Thế giới
39,NXB Lao Động Xã Hội
40,Nhà xuất bản Phụ Nữ
41,Văn Học
42,Phụ Nữ
43,Hồng Bàng
44,Trẻ
45,NXB Tổng Hợp TP.HCM
46,NXB Lao Động - Xã Hội
47,NXB Thời Đại
48,Lao Động
49,Khoa học xã hội
50,Hồng Đức
51,Lao động
52,Lao Động – Xã Hội
53,NXB Thông Tấn
54,Nhà Xuất Bản Phụ Nữ
55,Tổng Hợp TPHCM
56,Thanh Niên
57,NXB Tri Thức
58,NXB Y Học
59,NXB Phụ nữ
60,Dân Trí
61,NXB Văn Hóa Thông Tin
62,NXB Công Thương
63,NXB Hồng Bàng
64,NXB Y học
65,NXB Từ Điển Bách Khoa
66,NXB Văn Hoá Thông Tin
67,NXB Khoa Học Xã Hội
68,Lao động - Xã hội
69,NXB Thành Phố Hồ Chí Minh
70,NXB Cambridge University
71,NXB Đại học Kinh tế Quốc Dân
72,NXB Compass Publishing
73,NXB Kinh tế TP.Hồ Chí Minh
74,NXB Thông Tin và Truyền Thông
75,NXB Đại học Cần Thơ
76,NXB Đại học Sư phạm
77,NXB Văn hóa Văn nghệ
78,NXB Phu Nữ
79,Cambridge University Press
80,NXB Tổng Hợp Đà Nẵng
81,Nhà Xuất Bản Tổng hợp TP.HCM
82,Nhà Xuất Bản Khoa học xã hội
83,NXB Đại học Quốc Gia Hà Nội
84,NXB Dân trí
85,NXB Lao động - Xã hội
86,NXB Văn Hóa Văn Nghệ
87,NXB Văn hóa - Văn nghệ
88,NXB Khoa Học và Kỹ Thuật
89,Báo Sinh Viên VN - Hoa Học Trò
90,NXB Tài Chính
91,NXB Văn học
92,NXB	Văn Học
93,Báo Sinh viên VN-Hoa Học Trò
94,NXb Lao Động
95,NXB Đại học sư phạm HCM
96,Phương Đông
97,Văn Hóa Thông Tin
98,Đại Học Sư Phạm
99,Thuận Hóa
100,NXB Hội Nhà Văn
101,Báo Sinh Viên Việt Nam - Hoa Học Trò
102,NXB Mỹ thuật
103,Nhà Xuất Bản Mỹ Thuật
104,Hội nhà văn
105,NXB Hội Nhà Văn
106,NXB Công An Nhân Dân
107,NXB Chính Trị Quốc Gia Sự Thật
108,NXB Thông Tin Và Truyền Thông
109,Hội Nhà Văn
110,NXB Thể Thao Và Du Lịch
111,Nhà Xuất Bản Thế Giới
112,2016
113,Mỹ Thuật
114,Thông Tấn
115,Giáo Dục
116,Thế giới
117,NXB Thể Thao và Du Lịch
118,Henry Holt & Company
119,NXB Khoa Học - Xã Hội
120,Thế Giới
121,NXB Đại học kinh tế quốc dân
122,Nhà Xuất Bản Văn Học
123,NXB Thuận Hóa
124,NXB Tổng Hợp
125,NXB Tư Pháp
126,Nhà Xuất Bản Hà Nội
127,Hội Nhà văn
128,NXB Đại học Kinh tế Quốc dân
129,NXB Bách Khoa Hà Nội
130,CN NXB Trẻ
131,NXB Văn hóa Văn nghệ TP.HCM
